model,year,weight_by,vector_size,window,min_count,approach,epochs,similarity_score,analogy_score
w2v_y1609_wbnone_vs200_w5_mc20_sg1_e10.kv,1609,none,200,5,20,1,10,0.07146334945192423,0.0
w2v_y1501_wbnone_vs200_w5_mc20_sg1_e10.kv,1501,none,200,5,20,1,10,0.4006257488578206,0.2542372881355932
w2v_y1631_wbnone_vs200_w5_mc20_sg1_e10.kv,1631,none,200,5,20,1,10,0.19894568015889127,0.0
w2v_y1643_wbnone_vs200_w5_mc20_sg1_e10.kv,1643,none,200,5,20,1,10,-0.2748423635313472,0.0
w2v_y1632_wbnone_vs200_w5_mc20_sg1_e10.kv,1632,none,200,5,20,1,10,-0.00028013166256805227,0.0851063829787234
w2v_y1608_wbnone_vs200_w5_mc20_sg1_e10.kv,1608,none,200,5,20,1,10,0.15022107602269372,0.15
w2v_y1613_wbnone_vs200_w5_mc20_sg1_e10.kv,1613,none,200,5,20,1,10,-0.4285714285714286,0.15
w2v_y1604_wbnone_vs200_w5_mc20_sg1_e10.kv,1604,none,200,5,20,1,10,-0.026671226240379847,0.01639344262295082
w2v_y1642_wbnone_vs200_w5_mc20_sg1_e10.kv,1642,none,200,5,20,1,10,-0.07890464356508972,0.08333333333333333
w2v_y1605_wbnone_vs200_w5_mc20_sg1_e10.kv,1605,none,200,5,20,1,10,-0.061062111116541515,0.028846153846153848
w2v_y1616_wbnone_vs200_w5_mc20_sg1_e10.kv,1616,none,200,5,20,1,10,-0.4558290003784121,0.0
w2v_y1614_wbnone_vs200_w5_mc20_sg1_e10.kv,1614,none,200,5,20,1,10,0.32820147218342377,0.058823529411764705
w2v_y1638_wbnone_vs200_w5_mc20_sg1_e10.kv,1638,none,200,5,20,1,10,-0.09285714285714285,0.0
w2v_y1637_wbnone_vs200_w5_mc20_sg1_e10.kv,1637,none,200,5,20,1,10,0.06166056166056166,0.0
w2v_y1656_wbnone_vs200_w5_mc20_sg1_e10.kv,1656,none,200,5,20,1,10,-0.20381005943051023,0.02702702702702703
w2v_y1644_wbnone_vs200_w5_mc20_sg1_e10.kv,1644,none,200,5,20,1,10,0.0255237597698443,0.06382978723404255
w2v_y1671_wbnone_vs200_w5_mc20_sg1_e10.kv,1671,none,200,5,20,1,10,0.020766895432428607,0.09090909090909091
w2v_y1622_wbnone_vs200_w5_mc20_sg1_e10.kv,1622,none,200,5,20,1,10,0.004680955900468096,0.0
w2v_y1650_wbnone_vs200_w5_mc20_sg1_e10.kv,1650,none,200,5,20,1,10,-0.21212006811419795,0.029411764705882353
w2v_y1646_wbnone_vs200_w5_mc20_sg1_e10.kv,1646,none,200,5,20,1,10,-0.009292721940496119,0.04
w2v_y1648_wbnone_vs200_w5_mc20_sg1_e10.kv,1648,none,200,5,20,1,10,-0.06011490778360923,0.021052631578947368
w2v_y1611_wbnone_vs200_w5_mc20_sg1_e10.kv,1611,none,200,5,20,1,10,0.11383008021412327,0.11363636363636363
w2v_y1627_wbnone_vs200_w5_mc20_sg1_e10.kv,1627,none,200,5,20,1,10,-0.058336815916239945,0.0
w2v_y1633_wbnone_vs200_w5_mc20_sg1_e10.kv,1633,none,200,5,20,1,10,0.14509176116951866,0.03125
w2v_y1626_wbnone_vs200_w5_mc20_sg1_e10.kv,1626,none,200,5,20,1,10,-0.026680349287077437,0.041666666666666664
w2v_y1639_wbnone_vs200_w5_mc20_sg1_e10.kv,1639,none,200,5,20,1,10,0.3899755501222493,0.038461538461538464
w2v_y1620_wbnone_vs200_w5_mc20_sg1_e10.kv,1620,none,200,5,20,1,10,-0.09999999999999999,0.0
w2v_y1625_wbnone_vs200_w5_mc20_sg1_e10.kv,1625,none,200,5,20,1,10,-0.005384615384615384,0.0
w2v_y1601_wbnone_vs200_w5_mc20_sg1_e10.kv,1601,none,200,5,20,1,10,0.21221709439023462,0.08547008547008547
w2v_y1649_wbnone_vs200_w5_mc20_sg1_e10.kv,1649,none,200,5,20,1,10,-0.06391816939437128,0.0
w2v_y1647_wbnone_vs200_w5_mc20_sg1_e10.kv,1647,none,200,5,20,1,10,0.04277961801395446,0.02631578947368421
w2v_y1654_wbnone_vs200_w5_mc20_sg1_e10.kv,1654,none,200,5,20,1,10,0.03557319388270397,0.07547169811320754
w2v_y1655_wbnone_vs200_w5_mc20_sg1_e10.kv,1655,none,200,5,20,1,10,0.04935317942515336,0.0379746835443038
w2v_y1607_wbnone_vs200_w5_mc20_sg1_e10.kv,1607,none,200,5,20,1,10,-0.1137326096929407,0.1206896551724138
w2v_y1634_wbnone_vs200_w5_mc20_sg1_e10.kv,1634,none,200,5,20,1,10,0.19263456090651554,0.057692307692307696
w2v_y1652_wbnone_vs200_w5_mc20_sg1_e10.kv,1652,none,200,5,20,1,10,-0.1276141062036403,0.0
w2v_y1645_wbnone_vs200_w5_mc20_sg1_e10.kv,1645,none,200,5,20,1,10,0.025161827669007,0.11956521739130435
w2v_y1621_wbnone_vs200_w5_mc20_sg1_e10.kv,1621,none,200,5,20,1,10,0.24196916525476855,0.045454545454545456
w2v_y1664_wbnone_vs200_w5_mc20_sg1_e10.kv,1664,none,200,5,20,1,10,-0.12862903225806452,0.028169014084507043
w2v_y1659_wbnone_vs200_w5_mc20_sg1_e10.kv,1659,none,200,5,20,1,10,0.11824973329878366,0.21052631578947367
w2v_y1635_wbnone_vs200_w5_mc20_sg1_e10.kv,1635,none,200,5,20,1,10,-0.1926655719759168,0.0
w2v_y1677_wbnone_vs200_w5_mc20_sg1_e10.kv,1677,none,200,5,20,1,10,0.24036491061414442,0.08426966292134831
